Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	2.628e-07	1.597e-03	3.584e-03	1.717e-06	3.852e-06	56	26	30	0.464	930.348	930.438	0.597	0.861
2.632e-07	9.711e-06	3.717e-03	1.577e-02	3.995e-06	1.694e-05	62	28	34	0.452	930.438	931.318	0.866	3.007
9.725e-06	1.081e-05	1.629e-02	1.711e-02	1.750e-05	1.838e-05	64	28	36	0.438	931.319	931.379	3.009	3.156
1.083e-05	1.885e-05	1.752e-02	2.268e-02	1.882e-05	2.436e-05	88	38	50	0.432	931.380	931.751	3.189	4.105
1.887e-05	5.072e-05	2.337e-02	3.747e-02	2.510e-05	4.023e-05	86	36	50	0.419	931.752	932.727	4.101	6.541
5.080e-05	1.063e-04	3.874e-02	5.548e-02	4.159e-05	5.952e-05	84	34	50	0.405	932.728	933.825	6.538	9.343
1.064e-04	1.790e-04	5.753e-02	7.427e-02	6.172e-05	7.964e-05	82	32	50	0.390	933.828	934.855	9.341	12.045
1.793e-04	2.454e-04	7.729e-02	9.023e-02	8.287e-05	9.670e-05	80	30	50	0.375	934.858	935.594	12.044	14.051
2.458e-04	2.611e-04	9.185e-02	9.463e-02	9.843e-05	1.014e-04	76	28	48	0.368	935.598	935.751	14.051	14.475
2.614e-04	3.295e-04	9.720e-02	1.090e-01	1.041e-04	1.167e-04	78	28	50	0.359	935.755	936.371	14.486	16.235
3.300e-04	3.541e-04	1.097e-01	1.136e-01	1.175e-04	1.217e-04	84	30	54	0.357	936.375	936.577	16.258	16.835
3.547e-04	4.334e-04	1.164e-01	1.286e-01	1.247e-04	1.376e-04	86	30	56	0.349	936.582	937.182	16.847	18.599
4.340e-04	4.790e-04	1.317e-01	1.383e-01	1.409e-04	1.480e-04	88	30	58	0.341	937.186	937.498	18.612	19.542
4.797e-04	5.318e-04	1.414e-01	1.489e-01	1.514e-04	1.593e-04	84	28	56	0.333	937.503	937.838	19.545	20.568
5.326e-04	6.055e-04	1.525e-01	1.626e-01	1.632e-04	1.739e-04	86	28	58	0.326	937.843	938.275	20.583	21.931
6.064e-04	7.006e-04	1.665e-01	1.789e-01	1.781e-04	1.913e-04	88	28	60	0.318	938.280	938.790	21.947	23.573
7.016e-04	7.964e-04	1.831e-01	1.950e-01	1.958e-04	2.085e-04	90	28	62	0.311	938.796	939.265	23.591	25.119
7.975e-04	8.360e-04	1.995e-01	2.042e-01	2.133e-04	2.183e-04	92	28	64	0.304	939.270	939.449	25.137	25.732
8.373e-04	8.623e-04	2.121e-01	2.152e-01	2.267e-04	2.300e-04	136	40	96	0.294	939.454	939.564	25.821	26.200
