Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	2.628e-07	1.597e-03	3.584e-03	1.717e-06	3.852e-06	56	26	30	0.464	930.348	930.438	0.597	0.861
2.632e-07	9.711e-06	3.717e-03	1.577e-02	3.995e-06	1.694e-05	62	28	34	0.452	930.438	931.318	0.866	3.007
9.725e-06	1.081e-05	1.629e-02	1.711e-02	1.750e-05	1.838e-05	64	28	36	0.438	931.319	931.379	3.009	3.156
1.083e-05	1.885e-05	1.752e-02	2.268e-02	1.882e-05	2.436e-05	88	38	50	0.432	931.380	931.751	3.189	4.105
1.887e-05	5.072e-05	2.337e-02	3.747e-02	2.510e-05	4.023e-05	86	36	50	0.419	931.752	932.727	4.101	6.541
5.080e-05	1.063e-04	3.874e-02	5.548e-02	4.159e-05	5.952e-05	84	34	50	0.405	932.728	933.825	6.538	9.343
1.064e-04	1.790e-04	5.753e-02	7.427e-02	6.172e-05	7.964e-05	82	32	50	0.390	933.828	934.855	9.341	12.045
1.793e-04	2.916e-04	7.729e-02	9.825e-02	8.287e-05	1.053e-04	80	30	50	0.375	934.858	936.052	12.044	15.296
2.920e-04	3.610e-04	1.031e-01	1.145e-01	1.105e-04	1.226e-04	128	46	82	0.359	936.056	936.648	15.384	17.074
3.615e-04	4.251e-04	1.179e-01	1.277e-01	1.262e-04	1.367e-04	126	44	82	0.349	936.652	937.136	17.077	18.495
4.258e-04	5.134e-04	1.317e-01	1.445e-01	1.410e-04	1.546e-04	124	42	82	0.339	937.140	937.733	18.499	20.287
5.141e-04	6.328e-04	1.493e-01	1.655e-01	1.598e-04	1.770e-04	122	40	82	0.328	937.738	938.443	20.291	22.484
6.338e-04	6.883e-04	1.685e-01	1.755e-01	1.802e-04	1.877e-04	121	39	82	0.322	938.448	938.744	22.495	23.431
6.893e-04	7.247e-04	1.787e-01	1.832e-01	1.911e-04	1.959e-04	120	38	82	0.317	938.749	938.932	23.442	24.030
7.258e-04	8.560e-04	1.864e-01	2.024e-01	1.993e-04	2.163e-04	122	38	84	0.311	938.938	939.564	24.048	26.094
