Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	2.628e-07	1.597e-03	3.584e-03	1.717e-06	3.852e-06	56	26	30	0.464	930.348	930.438	0.597	0.861
2.632e-07	9.711e-06	3.717e-03	1.577e-02	3.995e-06	1.694e-05	62	28	34	0.452	930.438	931.318	0.866	3.007
9.725e-06	1.081e-05	1.629e-02	1.711e-02	1.750e-05	1.838e-05	64	28	36	0.438	931.319	931.379	3.009	3.156
1.083e-05	1.885e-05	1.752e-02	2.268e-02	1.882e-05	2.436e-05	88	38	50	0.432	931.380	931.751	3.189	4.105
1.887e-05	5.072e-05	2.337e-02	3.747e-02	2.510e-05	4.023e-05	86	36	50	0.419	931.752	932.727	4.101	6.541
5.080e-05	1.063e-04	3.874e-02	5.548e-02	4.159e-05	5.952e-05	84	34	50	0.405	932.728	933.825	6.538	9.343
1.064e-04	1.790e-04	5.753e-02	7.427e-02	6.172e-05	7.964e-05	82	32	50	0.390	933.828	934.855	9.341	12.045
1.793e-04	3.029e-04	7.729e-02	1.001e-01	8.287e-05	1.073e-04	80	30	50	0.375	934.858	936.159	12.044	15.587
3.034e-04	4.165e-04	1.027e-01	1.202e-01	1.100e-04	1.287e-04	82	30	52	0.366	936.163	937.110	15.598	18.237
4.171e-04	5.984e-04	1.216e-01	1.454e-01	1.302e-04	1.556e-04	132	48	84	0.364	937.115	938.384	18.341	21.911
5.993e-04	6.199e-04	1.587e-01	1.614e-01	1.698e-04	1.726e-04	138	46	92	0.333	938.389	938.510	21.917	22.287
6.208e-04	6.713e-04	1.639e-01	1.703e-01	1.753e-04	1.821e-04	140	46	94	0.329	938.515	938.797	22.303	23.179
6.722e-04	7.110e-04	1.729e-01	1.778e-01	1.849e-04	1.901e-04	142	46	96	0.324	938.803	939.009	23.196	23.847
7.120e-04	7.586e-04	1.802e-01	1.859e-01	1.926e-04	1.988e-04	150	48	102	0.320	939.015	939.253	23.874	24.633
7.597e-04	8.023e-04	1.885e-01	1.937e-01	2.016e-04	2.071e-04	152	48	104	0.316	939.258	939.467	24.651	25.324
8.034e-04	8.226e-04	1.960e-01	1.983e-01	2.095e-04	2.119e-04	160	50	110	0.312	939.472	939.563	25.353	25.650
