Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	2.628e-07	1.597e-03	3.584e-03	1.717e-06	3.852e-06	56	26	30	0.464	930.348	930.438	0.597	0.861
2.632e-07	9.711e-06	3.717e-03	1.577e-02	3.995e-06	1.694e-05	62	28	34	0.452	930.438	931.318	0.866	3.007
9.725e-06	1.081e-05	1.629e-02	1.711e-02	1.750e-05	1.838e-05	64	28	36	0.438	931.319	931.379	3.009	3.156
1.083e-05	1.885e-05	1.752e-02	2.268e-02	1.882e-05	2.436e-05	88	38	50	0.432	931.380	931.751	3.189	4.105
1.887e-05	5.072e-05	2.337e-02	3.747e-02	2.510e-05	4.023e-05	86	36	50	0.419	931.752	932.727	4.101	6.541
5.080e-05	1.063e-04	3.874e-02	5.548e-02	4.159e-05	5.952e-05	84	34	50	0.405	932.728	933.825	6.538	9.343
1.064e-04	1.790e-04	5.753e-02	7.427e-02	6.172e-05	7.964e-05	82	32	50	0.390	933.828	934.855	9.341	12.045
1.793e-04	2.716e-04	7.729e-02	9.488e-02	8.287e-05	1.017e-04	80	30	50	0.375	934.858	935.859	12.044	14.772
2.721e-04	3.541e-04	9.960e-02	1.134e-01	1.067e-04	1.215e-04	128	46	82	0.359	935.863	936.582	14.859	16.914
3.547e-04	4.295e-04	1.168e-01	1.284e-01	1.251e-04	1.374e-04	126	44	82	0.349	936.587	937.157	16.917	18.590
4.302e-04	5.172e-04	1.324e-01	1.450e-01	1.417e-04	1.552e-04	124	42	82	0.339	937.162	937.748	18.593	20.361
5.179e-04	6.441e-04	1.499e-01	1.670e-01	1.604e-04	1.786e-04	122	40	82	0.328	937.752	938.497	20.365	22.681
6.451e-04	7.464e-04	1.729e-01	1.859e-01	1.850e-04	1.988e-04	120	38	82	0.317	938.502	939.030	22.687	24.383
7.475e-04	8.373e-04	1.892e-01	2.002e-01	2.023e-04	2.140e-04	122	38	84	0.311	939.036	939.467	24.401	25.810
8.385e-04	8.585e-04	2.069e-01	2.093e-01	2.211e-04	2.237e-04	126	38	88	0.302	939.473	939.563	25.829	26.132
